Gaspar_code	FB_Spec_Code	Class	Order	Family	Bellwood_Floeter	Genus	Species	Genus_and_species	Size	Size_type	Depth_min	Depth_max	Size_class	Diet_2012	Home_range	Activity	Schooling	Level
10748	10748	Actinopterygii_(ray-finned_fishes)	Batrachoidiformes	Batrachoididae	1	Halophryne	diemensis	Halophryne_diemensis	26	TL	0	NA	4	IM	S	N	S	B
10752	10752	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Synanceiidae	1	Erosa	erosa	Erosa_erosa	15	TL	0	NA	2	IM	M	B	S	B
10753	10753	Actinopterygii_(ray-finned_fishes)	Perciformes	Pinguipedidae	1	Parapercis	multiplicata	Parapercis_multiplicata	15	TL	4	30	3	IM	M	D	S	B
10759	10759	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Synanceiidae	1	Minous	versicolor	Minous_versicolor	11	TL	12	64	3	FC	S	N	S	B
10771	10771	Actinopterygii_(ray-finned_fishes)	Perciformes	Serranidae	1	Serranocirrhitus	latus	Serranocirrhitus_latus	13	TL	15	70	3	PK	S	D	F	L
10776	10776	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Platycephalidae	1	Cymbacephalus	nematophthalmus	Cymbacephalus_nematophthalmus	58	TL	0	NA	5	FC	M	B	S	B
10786	10786	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Centropyge	aurantia	Centropyge_aurantia	10	TL	3	60	2	HD	S	D	P	B
10797	10797	Actinopterygii_(ray-finned_fishes)	Tetraodontiformes	Monacanthidae	1	Thamnaconus	arenaceus	Thamnaconus_arenaceus	23	TL	0	NA	4	IM	NA	D	NA	NA
10801	10801	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Apogon	albimaculosus	Apogon_albimaculosus	10	TL	43	80	2	PK	S	N	F	L
1081	1081	Actinopterygii_(ray-finned_fishes)	Tetraodontiformes	Monacanthidae	1	Aluterus	schoepfii	Aluterus_schoepfii	61	TL	3	7,62	5	OM	W	D	M	H
10817	10817	Actinopterygii_(ray-finned_fishes)	Perciformes	Ephippidae	1	Zabidius	novemaculeatus	Zabidius_novemaculeatus	45	TL	0	NA	4	OM	W	D	M	L
10819	10819	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Chaetodontoplus	conspicillatus	Chaetodontoplus_conspicillatus	10	TL	1	40	4	IM	S	D	S	B
1082	1082	Actinopterygii_(ray-finned_fishes)	Tetraodontiformes	Monacanthidae	1	Cantherhines	pullus	Cantherhines_pullus	20	TL	3	7,62	4	IM	M	D	S	L
10823	10823	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Chaetodontoplus	duboulayi	Chaetodontoplus_duboulayi	28	TL	0	20	4	IM	S	D	P	B
